event_type,sequence_number,venue_id,exchange_timestamp_ns,local_receipt_timestamp_ns,side,price_ticks,quantity
book,1,1,200000,1000000,B,9996,36
book,2,1,201000,1001000,B,9997,32
book,3,1,202000,1002000,B,9998,28
book,4,1,203000,1003000,B,9999,24
book,5,1,204000,1004000,B,10000,20
book,6,1,205000,1005000,A,10002,18
book,7,1,206000,1006000,A,10003,23
book,8,1,207000,1007000,A,10004,28
book,9,1,208000,1008000,A,10005,33
book,10,1,209000,1009000,A,10006,38
book,1,2,100000,1010000,B,9997,36
book,2,2,101000,1011000,B,9998,32
book,3,2,102000,1012000,B,9999,28
book,4,2,103000,1013000,B,10000,24
book,5,2,104000,1014000,B,10001,20
book,6,2,105000,1015000,A,10003,18
book,7,2,106000,1016000,A,10004,23
book,8,2,107000,1017000,A,10005,28
book,9,2,108000,1018000,A,10006,33
book,10,2,109000,1019000,A,10007,38
book,1,3,200000,1020000,B,9995,36
book,2,3,201000,1021000,B,9996,32
book,3,3,202000,1022000,B,9997,28
book,4,3,203000,1023000,B,9998,24
book,5,3,204000,1024000,B,9999,20
book,6,3,205000,1025000,A,10001,18
book,7,3,206000,1026000,A,10002,23
book,8,3,207000,1027000,A,10003,28
book,9,3,208000,1028000,A,10004,33
book,10,3,209000,1029000,A,10005,38
book,11,1,99200000,100000000,A,10002,40
book,11,2,98800000,100000000,B,10001,20
book,11,3,98400000,100000000,A,10001,31
book,12,1,149200000,150000000,B,10000,16
book,12,2,148800000,150000000,A,10003,27
book,12,3,148400000,150000000,B,9999,38
book,13,1,199200000,200000000,A,10002,23
book,13,2,198800000,200000000,B,10001,34
book,13,3,198400000,200000000,A,10001,45
book,14,1,249200000,250000000,B,10000,30
book,14,2,248800000,250000000,A,10003,41
book,14,3,248400000,250000000,B,9999,21
book,15,1,299200000,300000000,A,10002,37
book,15,2,298800000,300000000,B,10001,17
book,15,3,298400000,300000000,A,10001,28
book,16,1,349200000,350000000,B,10000,44
book,16,2,348800000,350000000,A,10003,24
book,16,3,348400000,350000000,B,9999,35
book,17,1,399200000,400000000,A,10002,20
book,17,2,398800000,400000000,B,10001,31
book,17,3,398400000,400000000,A,10001,42
book,18,1,449200000,450000000,B,10000,27
book,18,2,448800000,450000000,A,10003,38
book,18,3,448400000,450000000,B,9999,18
book,19,1,499200000,500000000,A,10002,34
book,19,2,498800000,500000000,B,10001,45
book,19,3,498400000,500000000,A,10001,25
book,20,1,549200000,550000000,B,10000,41
book,20,2,548800000,550000000,A,10003,21
book,20,3,548400000,550000000,B,9999,32
book,21,1,599200000,600000000,A,10002,17
book,21,2,598800000,600000000,B,10001,28
book,21,3,598400000,600000000,A,10001,39
book,22,1,649200000,650000000,B,10000,24
book,22,2,648800000,650000000,A,10003,35
book,22,3,648400000,650000000,B,9999,15
book,23,1,699200000,700000000,A,10002,31
book,23,2,698800000,700000000,B,10001,42
book,23,3,698400000,700000000,A,10001,22
book,24,1,749200000,750000000,B,10000,38
book,24,2,748800000,750000000,A,10003,18
book,24,3,748400000,750000000,B,9999,29
book,25,1,799200000,800000000,A,10002,45
book,25,2,798800000,800000000,B,10001,25
book,25,3,798400000,800000000,A,10001,36
book,26,1,849200000,850000000,B,10000,21
book,26,2,848800000,850000000,A,10003,32
book,26,3,848400000,850000000,B,9999,43
book,27,1,899200000,900000000,A,10002,28
book,27,2,898800000,900000000,B,10001,39
book,27,3,898400000,900000000,A,10001,19
book,28,1,949200000,950000000,B,10000,35
book,28,2,948800000,950000000,A,10003,15
book,28,3,948400000,950000000,B,9999,26
book,29,1,999200000,1000000000,A,10002,42
book,29,2,998800000,1000000000,B,10001,22
book,29,3,998400000,1000000000,A,10001,33
book,30,1,1049200000,1050000000,B,10000,18
book,30,2,1048800000,1050000000,A,10003,29
book,30,3,1048400000,1050000000,B,9999,40
book,31,1,1099200000,1100000000,A,10002,25
book,31,2,1098800000,1100000000,B,10001,36
book,31,3,1098400000,1100000000,A,10001,16
book,32,1,1149200000,1150000000,B,10000,32
book,32,2,1148800000,1150000000,A,10003,43
book,32,3,1148400000,1150000000,B,9999,23
book,33,1,1199200000,1200000000,A,10002,39
book,33,2,1198800000,1200000000,B,10001,19
book,33,3,1198400000,1200000000,A,10001,30
book,34,1,1249200000,1250000000,B,10000,15
book,34,2,1248800000,1250000000,A,10003,26
book,34,3,1248400000,1250000000,B,9999,37
trade,100001,1,1249200000,1250000000,B,10002,4
trade,100002,1,1249200000,1250000000,S,10000,6
trade,100003,1,1249200000,1250000000,B,10002,8
