sequence,venue_id,exchange_timestamp_ns,local_receipt_timestamp_ns,side,price_ticks,quantity
1,0,1700000000000000000,1700000000000000000,B,10000,120
2,0,1700000000000000200,1700000000000000200,A,10004,90
3,0,1700000000000000400,1700000000000000400,B,9999,75
4,0,1700000000000000600,1700000000000000600,A,10005,110
5,0,1700000000000000800,1700000000000000800,B,10001,60
6,0,1700000000000001000,1700000000000001000,A,10003,80
7,0,1700000000000001200,1700000000000001200,B,10000,140
8,0,1700000000000001400,1700000000000001400,A,10004,0
9,0,1700000000000001600,1700000000000001600,B,9998,50
10,0,1700000000000001800,1700000000000001800,A,10006,125
