horizon_ns,features,feature_count,train_rows,test_rows,mae,r2,ic,accuracy,balanced_accuracy,roc_auc_nonzero,train_partition_rows,validation_partition_rows,test_partition_rows,purged_train_rows,purged_validation_rows,train_start_ns,train_end_ns,validation_start_ns,validation_end_ns,test_start_ns,test_end_ns
10000000,microprice_deviation,1,260,53,246.28416278474026,0.0,,1.0,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
10000000,local_microstructure,13,260,53,123.27200591944555,0.0,,0.4528301886792453,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
10000000,local_plus_cross_venue,44,260,53,960.8479083067288,0.0,,0.7547169811320755,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
50000000,microprice_deviation,1,260,53,246.28416278474026,0.0,,1.0,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
50000000,local_microstructure,13,260,53,123.27200591944555,0.0,,0.4528301886792453,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
50000000,local_plus_cross_venue,44,260,53,960.8479083067288,0.0,,0.7547169811320755,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
100000000,microprice_deviation,1,260,52,342.3807495749324,0.0,,1.0,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
100000000,local_microstructure,13,260,52,147.6725833189156,0.0,,0.40384615384615385,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
100000000,local_plus_cross_venue,44,260,52,1193.3681196897257,0.0,,0.3269230769230769,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
250000000,microprice_deviation,1,260,49,323.6645800003219,0.0,,1.0,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
250000000,local_microstructure,13,260,49,248.87871738285708,0.0,,0.16326530612244897,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
250000000,local_plus_cross_venue,44,260,49,1084.070930097433,0.0,,0.0,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
1000000000,microprice_deviation,1,260,34,319.7823949190295,0.0,,0.0,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
1000000000,local_microstructure,13,260,34,382.80263805866656,0.0,,0.5,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
1000000000,local_plus_cross_venue,44,260,34,229.6536956184657,0.0,,0.0,,,228,33,54,20,20,1788984393200000000,1788984404550000000,1788984405600000000,1788984407200000000,1788984408250000000,1788984410900000000
