model,feature_set,horizon_ns,feature_count,mae,ic,feature_path_latency_ns,inference_latency_ns,effective_processing_latency_ns,inference_repetitions_per_trial,inference_trials,inference_runtime,inference_methodology,feature_latency_scope,machine_specific,complexity_value_assessable,conclusion
ridge_alpha_1,microprice_deviation,10000000,1,246.28416278474023,,1034.566,744088.6,745123.166,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_microstructure,10000000,13,123.27200591944556,,1034.566,761775.0,762809.566,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_plus_cross_venue,10000000,44,960.8479083067288,,1034.566,1037628.0,1038662.566,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,microprice_deviation,50000000,1,246.28416278474023,,1034.566,775638.2,776672.766,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_microstructure,50000000,13,123.27200591944556,,1034.566,762077.6,763112.166,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_plus_cross_venue,50000000,44,960.8479083067288,,1034.566,1043184.0,1044218.566,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,microprice_deviation,100000000,1,342.3807495749324,,1034.566,740058.4,741092.966,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_microstructure,100000000,13,147.6725833189156,,1034.566,762317.2,763351.766,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_plus_cross_venue,100000000,44,1193.3681196897255,,1034.566,1052325.2,1053359.766,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,microprice_deviation,250000000,1,323.6645800003219,,1034.566,743333.0,744367.566,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_microstructure,250000000,13,248.87871738285708,,1034.566,770721.6,771756.166,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_plus_cross_venue,250000000,44,1084.070930097433,,1034.566,1052016.6,1053051.1660000002,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,microprice_deviation,1000000000,1,319.7823949190295,,1034.566,745196.2,746230.766,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_microstructure,1000000000,13,382.80263805866656,,1034.566,766604.8,767639.366,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
ridge_alpha_1,local_plus_cross_venue,1000000000,44,229.6536956184657,,1034.566,1147911.4,1148945.966,500,5,python_sklearn_pipeline,median_of_single_row_timed_run_averages,full_feature_and_cross_venue_cpp_path,True,False,insufficient_target_variation
