horizon_ns,added_decision_delay_ns,feature_count,train_rows,test_rows,mae,r2,ic,direction_accuracy,balanced_accuracy,roc_auc_nonzero,target_standard_deviation,mean_decision_state_age_ns,p95_decision_state_age_ns,max_observation_delay_ns,analysis_type,evaluation_status
10000000,0,44,2785,745,717.6860064133488,0.0,,0.0,,,0.0,0.0,0.0,100000000,offline_latency_sensitivity,insufficient_target_variation
10000000,5000,44,2785,745,717.6860064133488,0.0,,0.0,,,0.0,5000.0,5000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
10000000,10000,44,2785,745,717.6860064133488,0.0,,0.0,,,0.0,10000.0,10000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
10000000,25000,44,2785,745,717.6860064133488,0.0,,0.0,,,0.0,25000.0,25000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
10000000,50000,44,2785,745,717.6860064133488,0.0,,0.0,,,0.0,49935.973154362415,50000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
10000000,100000,44,2785,745,717.6860064133488,0.0,,0.0,,,0.0,99781.34228187919,100000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
10000000,250000,44,2785,745,715.3502326715547,0.0,,0.0,,,0.0,248797.31543624162,250000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
10000000,500000,44,2785,745,708.6118262417353,0.0,,0.0,,,0.0,498733.28859060403,500000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
10000000,1000000,44,2785,745,702.2177181703553,0.0,,0.0,,,0.0,998733.288590604,1000000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
10000000,5000000,44,2785,745,704.5438734420737,0.0,,0.0,,,0.0,4998733.288590604,5000000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
50000000,0,44,2785,745,614.2206615074779,0.0,,0.0,,,0.0,0.0,0.0,100000000,offline_latency_sensitivity,insufficient_target_variation
50000000,5000,44,2785,745,614.2206615074779,0.0,,0.0,,,0.0,5000.0,5000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
50000000,10000,44,2785,745,614.2206615074779,0.0,,0.0,,,0.0,10000.0,10000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
50000000,25000,44,2785,745,614.2206615074779,0.0,,0.0,,,0.0,25000.0,25000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
50000000,50000,44,2785,745,614.2206615074779,0.0,,0.0,,,0.0,49935.973154362415,50000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
50000000,100000,44,2785,745,614.2206615074779,0.0,,0.0,,,0.0,99781.34228187919,100000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
50000000,250000,44,2785,745,612.2064691841643,0.0,,0.0,,,0.0,248797.31543624162,250000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
50000000,500000,44,2785,745,612.2064691841643,0.0,,0.0,,,0.0,498733.28859060403,500000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
