source_venue_id,response_venue_id,source_signal,response_signal,lag_ns,freshness_filter,observations,pearson_correlation,sampling_interval_ns
1,4,mid_price_change,mid_price_change,10000000,fresh_only,248987,0.008883445822021812,5000000
1,4,microprice_change,microprice_change,10000000,fresh_only,248987,0.0038609514972305276,5000000
1,4,ofi,mid_price_change,10000000,fresh_only,249818,0.006467415520387479,5000000
1,4,multi_level_ofi,mid_price_change,10000000,fresh_only,249756,0.004756384736850967,5000000
1,4,signed_trade_flow,mid_price_change,10000000,fresh_only,249818,0.00786940014553162,5000000
1,4,mid_price_change,mid_price_change,25000000,fresh_only,248168,0.003398612761055155,5000000
1,4,microprice_change,microprice_change,25000000,fresh_only,248168,-0.00040205850768276606,5000000
1,4,ofi,mid_price_change,25000000,fresh_only,249003,0.006426293002338374,5000000
1,4,multi_level_ofi,mid_price_change,25000000,fresh_only,248945,0.004765526832658555,5000000
1,4,signed_trade_flow,mid_price_change,25000000,fresh_only,249003,0.006875149115377482,5000000
1,4,mid_price_change,mid_price_change,50000000,fresh_only,247196,0.002768265834018147,5000000
1,4,microprice_change,microprice_change,50000000,fresh_only,247196,-0.00022217726892930604,5000000
1,4,ofi,mid_price_change,50000000,fresh_only,248025,0.006912038528990697,5000000
1,4,multi_level_ofi,mid_price_change,50000000,fresh_only,247972,0.005626754883841628,5000000
1,4,signed_trade_flow,mid_price_change,50000000,fresh_only,248025,0.007941941213332956,5000000
1,4,mid_price_change,mid_price_change,100000000,fresh_only,245661,0.0021813389029571614,5000000
1,4,microprice_change,microprice_change,100000000,fresh_only,245661,9.933632605639136e-05,5000000
1,4,ofi,mid_price_change,100000000,fresh_only,246484,0.007664967700467547,5000000
1,4,multi_level_ofi,mid_price_change,100000000,fresh_only,246435,0.007411427457334498,5000000
1,4,signed_trade_flow,mid_price_change,100000000,fresh_only,246484,0.00704586057962015,5000000
1,4,mid_price_change,mid_price_change,250000000,fresh_only,244061,0.000745689010046311,5000000
1,4,microprice_change,microprice_change,250000000,fresh_only,244061,-8.529460897994114e-05,5000000
1,4,ofi,mid_price_change,250000000,fresh_only,244854,0.007631712887727381,5000000
1,4,multi_level_ofi,mid_price_change,250000000,fresh_only,244800,0.005961052643543496,5000000
1,4,signed_trade_flow,mid_price_change,250000000,fresh_only,244854,0.003990725423982983,5000000
1,4,mid_price_change,mid_price_change,500000000,fresh_only,243806,0.0011638305524804388,5000000
1,4,microprice_change,microprice_change,500000000,fresh_only,243806,0.0011199937331128553,5000000
1,4,ofi,mid_price_change,500000000,fresh_only,244551,0.002199665526449307,5000000
1,4,multi_level_ofi,mid_price_change,500000000,fresh_only,244498,0.0005615739301996561,5000000
1,4,signed_trade_flow,mid_price_change,500000000,fresh_only,244551,0.0028973912362423603,5000000
4,1,mid_price_change,mid_price_change,10000000,fresh_only,249045,0.018412295547847304,5000000
4,1,microprice_change,microprice_change,10000000,fresh_only,249045,-0.0012396537958647728,5000000
4,1,ofi,mid_price_change,10000000,fresh_only,254818,0.021020605257772634,5000000
4,1,multi_level_ofi,mid_price_change,10000000,fresh_only,20976,0.004104746516853045,5000000
4,1,signed_trade_flow,mid_price_change,10000000,fresh_only,254818,0.008464652106480616,5000000
4,1,mid_price_change,mid_price_change,25000000,fresh_only,248309,0.0019170389756781787,5000000
4,1,microprice_change,microprice_change,25000000,fresh_only,248309,-3.300400523829448e-05,5000000
4,1,ofi,mid_price_change,25000000,fresh_only,254867,0.020122885854143534,5000000
4,1,multi_level_ofi,mid_price_change,25000000,fresh_only,20982,0.00386025509993837,5000000
4,1,signed_trade_flow,mid_price_change,25000000,fresh_only,254867,0.007948976438144174,5000000
4,1,mid_price_change,mid_price_change,50000000,fresh_only,247448,0.0023303768693799577,5000000
4,1,microprice_change,microprice_change,50000000,fresh_only,247448,-4.0276982158326204e-05,5000000
4,1,ofi,mid_price_change,50000000,fresh_only,254930,0.019856255314986616,5000000
4,1,multi_level_ofi,mid_price_change,50000000,fresh_only,20999,0.0047117962859170035,5000000
4,1,signed_trade_flow,mid_price_change,50000000,fresh_only,254930,0.006701457848311302,5000000
4,1,mid_price_change,mid_price_change,100000000,fresh_only,246079,0.0034459585242630013,5000000
4,1,microprice_change,microprice_change,100000000,fresh_only,246079,-0.00018238644789105312,5000000
4,1,ofi,mid_price_change,100000000,fresh_only,254877,0.01648353177837847,5000000
4,1,multi_level_ofi,mid_price_change,100000000,fresh_only,21017,0.004070999258990882,5000000
4,1,signed_trade_flow,mid_price_change,100000000,fresh_only,254877,0.005446871303391328,5000000
4,1,mid_price_change,mid_price_change,250000000,fresh_only,244395,-0.0025677861815736076,5000000
4,1,microprice_change,microprice_change,250000000,fresh_only,244395,0.0006338206747409166,5000000
4,1,ofi,mid_price_change,250000000,fresh_only,254358,0.00690213847156561,5000000
4,1,multi_level_ofi,mid_price_change,250000000,fresh_only,21092,0.002179729665420149,5000000
4,1,signed_trade_flow,mid_price_change,250000000,fresh_only,254358,0.00359130575143802,5000000
4,1,mid_price_change,mid_price_change,500000000,fresh_only,243889,-0.00025735571055757867,5000000
4,1,microprice_change,microprice_change,500000000,fresh_only,243889,0.00109059462891143,5000000
4,1,ofi,mid_price_change,500000000,fresh_only,254154,0.006241454943012808,5000000
4,1,multi_level_ofi,mid_price_change,500000000,fresh_only,21128,0.004765318914798368,5000000
4,1,signed_trade_flow,mid_price_change,500000000,fresh_only,254154,-6.241655957572474e-05,5000000
