horizon_ns,regime,band,threshold,threshold_source,test_rows,target_standard_deviation,local_mae,cross_venue_mae,delta_mae,local_ic,cross_venue_ic,delta_ic,cross_venue_mae_improved,conclusion
10000000,spread,low,1.0,training_partition_median,5315,43.78389327308864,9.620555572546127,14.481894266265316,4.861338693719189,0.1457722596736884,0.10137134288784107,-0.04440091678584733,False,cross_venue_mae_not_improved
10000000,volatility,low,0.0,training_partition_median,4504,33.46458385398304,7.3260438734263,12.885890501025473,5.559846627599174,0.12525766349041126,0.06982439583122439,-0.055433267659186866,False,cross_venue_mae_not_improved
10000000,volatility,high,0.0,training_partition_median,811,79.46087332634428,22.363441753601244,23.345520602443187,0.9820788488419439,0.1556641499700329,0.17224199695695747,0.016577846986924577,False,cross_venue_mae_not_improved
10000000,depth,low,2024751000.0,training_partition_median,3740,32.866598876790036,6.922056491182955,12.65406524182207,5.732008750639114,0.10625167045490265,0.03982560190502897,-0.06642606854987368,False,cross_venue_mae_not_improved
10000000,depth,high,2024751000.0,training_partition_median,1575,62.34193490718571,16.028420057814866,18.82226287034008,2.793842812525213,0.1625887270860188,0.15845695928519388,-0.004131767800824915,False,cross_venue_mae_not_improved
10000000,trade_activity,low,476000.0,training_partition_median,3275,13.731927713447472,5.0451667927627994,10.742375293470724,5.697208500707925,0.024890454110355738,-0.02828671340544041,-0.053177167515796146,False,cross_venue_mae_not_improved
10000000,trade_activity,high,476000.0,training_partition_median,2040,68.38646430644305,16.96584883420809,20.485288695629187,3.519439861421098,0.1764795181761342,0.1657818290972338,-0.010697689078900396,False,cross_venue_mae_not_improved
10000000,imbalance,low,0.7734116080684516,training_partition_median,3240,24.51748342516574,5.240711511903076,11.077978128132177,5.837266616229101,0.07522484587269472,0.03509823475801425,-0.04012661111468047,False,cross_venue_mae_not_improved
10000000,imbalance,high,0.7734116080684516,training_partition_median,2075,63.001915827526574,16.459444611815275,19.796924766290076,3.3374801544748003,0.17046199985656066,0.14069992724723296,-0.0297620726093277,False,cross_venue_mae_not_improved
10000000,venue_age,low,30491550.0,training_partition_median,2875,40.55048797535853,9.200994373879695,14.836171565905111,5.635177192025417,0.16966482210691183,0.09310050749873779,-0.07656431460817405,False,cross_venue_mae_not_improved
10000000,venue_age,high,30491550.0,training_partition_median,2440,47.30942756976993,10.114915591466614,14.064456874271709,3.949541282805095,0.12221568721407944,0.1129208052740969,-0.009294881939982541,False,cross_venue_mae_not_improved
50000000,spread,low,1.0,training_partition_median,5319,46.5109941890297,10.322594974856244,15.092695434023817,4.770100459167573,0.15151925001670957,0.11084452252018402,-0.04067472749652555,False,cross_venue_mae_not_improved
50000000,volatility,low,0.0,training_partition_median,4507,37.08991167556779,7.943440205989973,13.414123090875016,5.470682884885043,0.12494476744969969,0.07492494594908947,-0.050019821500610226,False,cross_venue_mae_not_improved
50000000,volatility,high,0.0,training_partition_median,812,80.60711661900538,23.52807593948713,24.4095988214273,0.8815228819401675,0.16883523439462694,0.18837133229805114,0.0195360979034242,False,cross_venue_mae_not_improved
50000000,depth,low,2024751000.0,training_partition_median,3742,37.115149862987465,7.50247910420485,13.146490874273393,5.644011770068543,0.108273167159528,0.04694181861724641,-0.061331348542281595,False,cross_venue_mae_not_improved
50000000,depth,high,2024751000.0,training_partition_median,1577,63.307864897630104,17.01433472626875,19.71076611416717,2.6964313878984214,0.17334982604431712,0.17267443766404045,-0.0006753883802766703,False,cross_venue_mae_not_improved
50000000,trade_activity,low,476000.0,training_partition_median,3278,23.249436480642913,5.764698954773346,11.383251866519625,5.61855291174628,0.03961345956496527,-0.001596399104325139,-0.04120985866929041,False,cross_venue_mae_not_improved
50000000,trade_activity,high,476000.0,training_partition_median,2041,68.92991496075004,17.642919890991344,21.050341692857096,3.407421801865752,0.18602410640876077,0.17958660190730344,-0.006437504501457331,False,cross_venue_mae_not_improved
50000000,imbalance,low,0.7734116080684516,training_partition_median,3241,25.123138844381778,5.496483920392884,11.27959287794065,5.783108957547765,0.08290372033174954,0.043502593724665695,-0.03940112660708385,False,cross_venue_mae_not_improved
50000000,imbalance,high,0.7734116080684516,training_partition_median,2078,67.46398379075761,17.84974893419972,21.03988763049423,3.190138696294511,0.1736605245707087,0.1493654997954034,-0.02429502477530532,False,cross_venue_mae_not_improved
50000000,venue_age,low,30491550.0,training_partition_median,2875,40.55048797535853,9.566468600387875,15.233397088608978,5.666928488221103,0.170488038091998,0.09753010977539073,-0.07295792831660727,False,cross_venue_mae_not_improved
50000000,venue_age,high,30491550.0,training_partition_median,2444,52.665562247557645,11.212064421090517,14.927181008110415,3.7151165870198977,0.1372620088576796,0.12990321415321882,-0.007358794704460797,False,cross_venue_mae_not_improved
100000000,spread,low,1.0,training_partition_median,5308,65.92492527323242,19.45427125954476,25.809283741705126,6.355012482160365,0.20191942455239228,0.1715017979852832,-0.030417626567109085,False,cross_venue_mae_not_improved
100000000,volatility,low,0.0,training_partition_median,4499,53.1559626562527,15.111474987457251,22.377334732203927,7.265859744746676,0.1604713432904527,0.12395123675598312,-0.03652010653446959,False,cross_venue_mae_not_improved
100000000,volatility,high,0.0,training_partition_median,809,112.4938281262014,43.60537191235279,44.89499275746027,1.2896208451074855,0.23282261861252526,0.2585053814076239,0.02568276279509865,False,cross_venue_mae_not_improved
100000000,depth,low,2024751000.0,training_partition_median,3735,52.63960150849773,14.354958532631418,21.92698983555254,7.572031302921122,0.1481529407735773,0.08981709139459765,-0.05833584937897965,False,cross_venue_mae_not_improved
100000000,depth,high,2024751000.0,training_partition_median,1573,89.46832860851697,31.562302432476308,35.02757219655568,3.4652697640793733,0.22774901141438111,0.2386140610961653,0.010865049681784172,False,cross_venue_mae_not_improved
100000000,trade_activity,low,476000.0,training_partition_median,3273,33.69695675235299,11.209806155867229,18.71328465210507,7.503478496237841,0.06618847214701225,0.03389733555888883,-0.032291136588123416,False,cross_venue_mae_not_improved
100000000,trade_activity,high,476000.0,training_partition_median,2035,97.1180466024865,32.714288106884595,37.22216090153854,4.507872794653942,0.2426394442173019,0.24990025903932103,0.007260814822019124,False,cross_venue_mae_not_improved
100000000,imbalance,low,0.7734116080684516,training_partition_median,3235,35.537873264431596,10.400138722435344,18.361638868870408,7.961500146435064,0.11621146025085885,0.06698147743884582,-0.04922998281201303,False,cross_venue_mae_not_improved
100000000,imbalance,high,0.7734116080684516,training_partition_median,2073,95.6648793607765,33.58360978224083,37.431633555318406,3.8480237730775784,0.22935506937393774,0.222603288229018,-0.006751781144919727,False,cross_venue_mae_not_improved
100000000,venue_age,low,30491550.0,training_partition_median,2864,70.73604092029544,20.633607298985794,26.949736159257814,6.31612886027202,0.2306142227413973,0.19090226386266587,-0.03971195887873144,False,cross_venue_mae_not_improved
100000000,venue_age,high,30491550.0,training_partition_median,2444,59.79326026744388,18.07226699728653,24.472845229482996,6.400578232196466,0.1606420278760992,0.14760526526881318,-0.013036762607286034,False,cross_venue_mae_not_improved
250000000,spread,low,1.0,training_partition_median,5296,109.85652119434617,43.23855310507441,49.70083683549878,6.462283730424367,0.24750245129816378,0.21584529723628754,-0.03165715406187625,False,cross_venue_mae_not_improved
250000000,volatility,low,0.0,training_partition_median,4488,99.82746734244563,36.55924759000844,43.7547608740631,7.1955132840546625,0.19720800301520353,0.15465693848543777,-0.04255106452976576,False,cross_venue_mae_not_improved
250000000,volatility,high,0.0,training_partition_median,808,152.88884697136194,80.33845799568837,82.7280508391167,2.389592843428332,0.32651370132900626,0.34169677244183144,0.015183071112825186,False,cross_venue_mae_not_improved
250000000,depth,low,2024751000.0,training_partition_median,3730,99.47903465123797,34.6770171921765,42.24428479352597,7.567267601349471,0.18945034815583553,0.1567017839714683,-0.032748564184367224,False,cross_venue_mae_not_improved
250000000,depth,high,2024751000.0,training_partition_median,1566,130.06257837901225,63.63097261663842,67.46133435565112,3.8303617390127016,0.29604373691896346,0.26752370810214954,-0.028520028816813925,False,cross_venue_mae_not_improved
250000000,trade_activity,low,476000.0,training_partition_median,3266,77.90626588717872,30.803270247201617,37.874766603496624,7.0714963562950075,0.13881666471824533,0.10826100620081565,-0.030555658517429682,False,cross_venue_mae_not_improved
250000000,trade_activity,high,476000.0,training_partition_median,2030,146.60453538659155,63.24526926951409,68.72741091319287,5.48214164367878,0.300189741962308,0.2860653837427678,-0.014124358219540223,False,cross_venue_mae_not_improved
250000000,imbalance,low,0.7734116080684516,training_partition_median,3226,80.55773126119252,26.096888731128445,34.82215234699729,8.725263615868847,0.13631266387851484,0.1132284283279693,-0.023084235550545548,False,cross_venue_mae_not_improved
250000000,imbalance,high,0.7734116080684516,training_partition_median,2070,144.0920067467921,69.95305033712741,72.88858377265132,2.935533435523908,0.2955631256027354,0.27000944198642257,-0.025553683616312828,False,cross_venue_mae_not_improved
250000000,venue_age,low,30491550.0,training_partition_median,2859,110.42112836305617,43.79994325066851,50.45297418966217,6.653030938993659,0.2723737915778998,0.2376726407867037,-0.03470115079119612,False,cross_venue_mae_not_improved
